Country,Currency,2000,2001,2002,2003,2004,2005,2006,2007
Albania,lek,4.45037E+11,4.53037E+11,5.06549E+11,5.85719E+11,6.52019E+11,6.92036E+11,,
Argentina,Argentine peso                          ,2.28715E+11,2.16919E+11,1.89087E+11,2.02265E+11,2.19152E+11,2.37719E+11,2.55247E+11,
Armenia,dram,1.15566E+12,1.22282E+12,1.33867E+12,1.44934E+12,1.63064E+12,1.89399E+12,2.03175E+12,2.48491E+12
Australia,Australian dollar     ,5.55061E+11,5.80319E+11,6.01353E+11,6.48072E+11,6.8555E+11,7.11479E+11,7.48268E+11,
Austria,1999 ATS euro / euro,1.52842E+11,1.53699E+11,1.5453E+11,1.56451E+11,1.64494E+11,1.678E+11,1.71322E+11,1.7418E+11
Azerbaijan,Azerbaijan new manat,1.25724E+13,1.36118E+13,1.09027E+13,1.27561E+13,1.41429E+13,6527400000,7403800000,9796100000
Bahamas,Bahamian dollar,3344800000,3492700000,3457700000,3543270000,3609940000,3714630000,3843110000,
Bahrain,Bahrain dinar                           ,1825372513,1885162372,1960651024,2082310145,2144198455,2322725109,2544523439,
Bangladesh,taka,1.58434E+12,1.65924E+12,1.75319E+12,1.82541E+12,1.89267E+12,1.9713E+12,2.05872E+12,2.16563E+12
Belarus,Belarussian rouble (re-denom. 1:1000),2.5391E+12,7.9356E+12,1.46922E+13,2.2178E+13,3.06488E+13,4.11452E+13,5.16283E+13,6.14165E+13
Belgium,1999 BEF euro / euro,1.93333E+11,1.96036E+11,1.98424E+11,2.07569E+11,2.11268E+11,2.17013E+11,2.27878E+11,2.36555E+11
Belize,Belize dollar                           ,1081250000,1578600000,1699100000,1758800000,1754100000,1739200000,1672400000,
Benin,CFA franc                               ,7.17413E+11,7.53345E+11,7.94104E+11,8.35632E+11,8.34846E+11,8.56163E+11,8.785E+11,9.06E+11
Bhutan,Ngultum,13746900000,14662100000,15790900000,17323400000,17997700000,18917100000,19411100000,
Bolivia,boliviano                               ,19296126624,19581578962,20018917085,20441779271,21043316015,21744692842,22606117683,23536324122
Bosnia and Herzegovina,convertible marks,,,,,,19633000000,21221000000,
