Country,Currency,Year,GDP
Albania,lek,2000,445037000000.0
Argentina,Argentine peso                          ,2000,228715000000.0
Armenia,dram,2000,1155660000000.0
Australia,Australian dollar     ,2000,555061000000.0
Austria,1999 ATS euro / euro,2000,152842000000.0
Azerbaijan,Azerbaijan new manat,2000,12572400000000.0
Bahamas,Bahamian dollar,2000,3344800000.0
Bahrain,Bahrain dinar                           ,2000,1825372513.0
Bangladesh,taka,2000,1584340000000.0
Belarus,Belarussian rouble (re-denom. 1:1000),2000,2539100000000.0
Belgium,1999 BEF euro / euro,2000,193333000000.0
Belize,Belize dollar                           ,2000,1081250000.0
Benin,CFA franc                               ,2000,717413000000.0
Bhutan,Ngultum,2000,13746900000.0
Bolivia,boliviano                               ,2000,19296126624.0
Botswana,pula                                    ,2000,9038885659.0
Brazil,real,2000,875601000000.0
Brunei Darussalam,Brunei Dollar,2000,5240000000.0
Bulgaria,lev (re-denom. 1:1000),2000,11060100000000.0
Burkina Faso,CFA Franc,2000,1825650000000.0
Cambodia,riel                                    ,2000,9738750000000.0
Cameroon,CFA franc,2000,4652070000000.0
Canada,Canadian dollar,2000,773918000000.0
Cape Verde,escudo                                  ,2000,20989362000.0
Chad,CFA Franc,2000,862997000000.0
Chile,Chilean peso                            ,2000,16475100000000.0
"China, Hong Kong Special Administrative Region",Hong Kong dollar,2000,766229000000.0
"China, Macao Special Administrative Region",pataca                                  ,2000,25851414705.0
Colombia,Colombian peso                          ,2000,62346300000000.0
Costa Rica,Costa Rican colon                       ,2000,1126860000000.0
Cote d'Ivoire,CFA franc                               ,2000,3204380000000.0
Croatia,kuna                                    ,2000,117244000000.0
Cuba,Cuban Peso,2000,21194600000.0
Cyprus,Cyprus pound,2000,4268000000.0
Czech Republic,Czech koruna,2000,1422310000000.0
Denmark,Danish krone,2000,889338000000.0
Dominican Republic,Dominican peso,2000,186988000000.0
Ecuador,US dollar                               ,2000,82150606000.0
Egypt,Egyptian pound                          ,2000,274300000000.0
El Salvador,US dollars,2000,32858250000.0
Estonia,Estonian Kroon,2000,63611906349.0
Finland,1999 FIM euro / euro,2000,88964666667.0
France,1999 FRF euro / euro,2000,1084820000000.0
Germany,1999 DEM euro / euro,2000,1998040000000.0
Greece,2001 GRD euro / euro,2000,113122000000.0
Guatemala,quetzal,2000,4392000000.0
Honduras,lempira,2000,47633715933.0
Hungary,Forint,2000,8090870000000.0
Iceland,Icelandic króna       ,2000,452022000000.0
India,Indian rupee,2000,13540400000000.0
Indonesia,Indonesian Rupiah,2000,626362000000000.0
Iran (Islamic Republic of),Iranian rial                            ,2000,122127000000000.0
Ireland,1999 IEP euro / euro      ,2000,52889528826.0
Israel,new sheqel                              ,2000,369164000000.0
Italy,1999 ITL euro / euro,2000,861046000000.0
Japan,yen,2000,370469000000000.0
Kazakhstan,tenge,2000,1745360000000.0
Kenya,Kenya Shillings,2000,469219000000.0
"Korea, Republic of",Korean won,2000,332356000000000.0
Kuwait,Kuwaiti dinar                           ,2000,7000500000.0
Kyrgyzstan,Kyrgyz som                              ,2000,45823400000.0
Latvia,lats                                    ,2000,3259774500.0
Lesotho,loti                                    ,2000,3953358008.0
Lithuania,Litas,2000,35251980237.0
Luxembourg,1999 LUF Euro / Euro     ,2000,11572568791.0
Madagascar,Ariary,2000,412972000000.0
Malawi,Malawi kwacha,2000,11015000000.0
Malaysia,ringgit   ,2000,155704000000.0
Maldives,rufiyaa                                 ,2000,3608600000.0
Mali,CFA franc                               ,2000,881510000000.0
Malta,Maltese liri,2000,1439776000.0
Mauritius,Mauritian rupee                         ,2000,54035000000.0
Mexico,Mexican new peso,2000,1263950000000.0
Morocco,Moroccan dirham                         ,2000,118444000000.0
Mozambique,Metical,2000,39586700000000.0
Namibia,Namibia dollar                          ,2000,13973000000.0
Netherlands,Namibia dollar                          ,2000,282026000000.0
New Zealand,Namibia dollar                          ,2000,81365000000.0
Nicaragua,Namibia dollar                          ,2000,24840708991.0
Niger,Namibia dollar                          ,2000,810954000000.0
Norway,Namibia dollar                          ,2000,787083000000.0
Occupied Palestinian Territory,Namibia dollar                          ,2000,5174275716.0
Oman,Namibia dollar                          ,2000,4448780000.0
Pakistan,Namibia dollar                          ,2000,1904110000000.0
Panama,Namibia dollar                          ,2000,7009400000.0
Papua New Guinea,Namibia dollar                          ,2000,4744148259.0
Paraguay,Namibia dollar                          ,2000,11744000000000.0
Peru,Namibia dollar                          ,2000,97762000000.0
Philippines,Namibia dollar                          ,2000,831715000000.0
Poland,Namibia dollar                          ,2000,501371000000.0
Portugal,Namibia dollar                          ,2000,90890400000.0
Puerto Rico,Namibia dollar                          ,2000,9684000000.0
Qatar,Namibia dollar                          ,2000,20900000000.0
Republic of Moldova,Namibia dollar                          ,2000,12993150000.0
Romania,Namibia dollar                          ,2000,245746000000000.0
Russian Federation,Namibia dollar                          ,2000,2995450000000.0
Rwanda,Namibia dollar                          ,2000,515655000000.0
Saint Lucia,Namibia dollar                          ,2000,1095130000.0
San Marino,Namibia dollar                          ,2000,415000000.0
Saudi Arabia,Namibia dollar                          ,2000,450214000000.0
Senegal,Namibia dollar                          ,2000,2313520000000.0
Singapore,Namibia dollar                          ,2000,80931000000.0
Slovakia,Namibia dollar                          ,2000,616494000000.0
Slovenia,Namibia dollar                          ,2000,2890090000000.0
South Africa,Namibia dollar                          ,2000,665931000000.0
Spain,Namibia dollar                          ,2000,445977000000.0
Sri Lanka,Namibia dollar                          ,2000,738074000000.0
Sweden,Namibia dollar                          ,2000,1638160000000.0
Switzerland,Namibia dollar                          ,2000,282670000000.0
Syrian Arab Republic,Namibia dollar                          ,2000,588125000000.0
Tanzania - Mainland,Namibia dollar                          ,2000,4739920000000.0
Thailand,Namibia dollar                          ,2000,1900850000000.0
The former Yugoslav Republic of Macedonia,Namibia dollar                          ,2000,203920000000.0
Trinidad and Tobago,Namibia dollar                          ,2000,35621000000.0
Tunisia,Namibia dollar                          ,2000,13160000000.0
Turkey,Namibia dollar                          ,2000,30380400000000.0
Turks and Caicos Islands,Namibia dollar                          ,2000,133068000.0
Uganda,Namibia dollar                          ,2000,8266960000000.0
Ukraine,Namibia dollar                          ,2000,102472000000.0
United Kingdom,Namibia dollar                          ,2000,814038000000.0
United States,Namibia dollar                          ,2000,7735500000000.0
Uruguay,Namibia dollar                          ,2000,274891000.0
Venezuela,Namibia dollar                          ,2000,14160700000000.0
Viet Nam,Namibia dollar                          ,2000,200665000000000.0
Zambia,Namibia dollar                          ,2000,2013530000000.0
Zimbabwe,Namibia dollar                          ,2000,19618000000.0
Albania,lek,2001,453037000000.0
Argentina,Argentine peso                          ,2001,216919000000.0
Armenia,dram,2001,1222820000000.0
Australia,Australian dollar     ,2001,580319000000.0
Austria,1999 ATS euro / euro,2001,153699000000.0
Azerbaijan,Azerbaijan new manat,2001,13611800000000.0
Bahamas,Bahamian dollar,2001,3492700000.0
Bahrain,Bahrain dinar                           ,2001,1885162372.0
