Country,YEAR ,GDP 
"Albania Argentina Armenia Australia Austria Azerbaijan Bahamas Bahrain Bangladesh Belarus Belgium Belize Benin Bhutan Bolivia Bosnia\ and\ Herzegovina Botswana Brazil Brunei\ Darussalam Bulgaria Burkina\ Faso Cambodia Cameroon Canada Cape\ Verde Chad Chile China,\ Hong\ Kong\ Special\ Administrative\ Region China,\ Macao\ Special\ Administrative\ Region Colombia Costa\ Rica Cote\ d'Ivoire Croatia Cuba Cyprus Czech\ Republic Denmark Dominican\ Republic Ecuador Egypt El\ Salvador Estonia Finland France Germany Greece Guatemala Guinea Honduras Hungary Iceland India Indonesia Iran\ (Islamic\ Republic\ of) Ireland Israel Italy Japan Kazakhstan Kenya Korea,\ Republic\ of Kuwait Kyrgyzstan Latvia Lesotho Lithuania Luxembourg Madagascar Malawi Malaysia Maldives Mali Malta Mauritius Mexico Morocco Mozambique Namibia Netherlands New\ Zealand Nicaragua Niger Norway Occupied\ Palestinian\ Territory Oman Pakistan Panama Papua\ New\ Guinea Paraguay Peru Philippines Poland Portugal Puerto\ Rico Qatar Republic\ of\ Moldova Romania Russian\ Federation Rwanda Saint\ Lucia San\ Marino Saudi\ Arabia Senegal Sierra\ Leone Singapore Slovakia Slovenia South\ Africa Spain Sri\ Lanka Sweden Switzerland Syrian\ Arab\ Republic Tajikistan Tanzania\ -\ Mainland Thailand The\ former\ Yugoslav\ Republic\ of\ Macedonia Trinidad\ and\ Tobago Tunisia Turkey Turks\ and\ Caicos\ Islands Uganda Ukraine United\ Kingdom United\ States Uruguay Venezuela Viet\ Nam Zambia Zimbabwe",2000 2001 2002 2003 2004 2005 2006 2007,continuous
"meta colors={'Albania':\ '#D70000',\ 'Argentina':\ '#8C3CFF',\ 'Armenia':\ '#028800',\ 'Australia':\ '#00ACC7',\ 'Austria':\ '#98FF00',\ 'Azerbaijan':\ '#FF7FD1',\ 'Bahamas':\ '#6C004F',\ 'Bahrain':\ '#FFA530',\ 'Bangladesh':\ '#583B00',\ 'Belarus':\ '#005759',\ 'Belgium':\ '#0000DD',\ 'Belize':\ '#00FDCF',\ 'Benin':\ '#A1756A',\ 'Bhutan':\ '#BCB7FF',\ 'Bolivia':\ '#95B578',\ 'Bosnia\ and\ Herzegovina':\ '#C004B9',\ 'Botswana':\ '#645474',\ 'Brazil':\ '#790000',\ 'Brunei\ Darussalam':\ '#0774D8',\ 'Bulgaria':\ '#FEF590',\ 'Burkina\ Faso':\ '#004B00',\ 'Cambodia':\ '#8F7A00',\ 'Cameroon':\ '#FF7266',\ 'Canada':\ '#EEB9B9',\ 'Cape\ Verde':\ '#5E7E66',\ 'Chad':\ '#9BE4FF',\ 'Chile':\ '#EC0077',\ 'China,\ Hong\ Kong\ Special\ Administrative\ Region':\ '#A67BB9',\ 'China,\ Macao\ Special\ Administrative\ Region':\ '#5A00A4',\ 'Colombia':\ '#04C600',\ 'Costa\ Rica':\ '#9E4B00',\ ""Cote\ d'Ivoire"":\ '#9C3B50',\ 'Croatia':\ '#CBC400',\ 'Cuba':\ '#718298',\ 'Cyprus':\ '#00AF8A',\ 'Czech\ Republic':\ '#8388FF',\ 'Denmark':\ '#5D373B',\ 'Dominican\ Republic':\ '#390000',\ 'Ecuador':\ '#FDC0FF',\ 'Egypt':\ '#BEE7C0',\ 'El\ Salvador':\ '#DB6D01',\ 'Estonia':\ '#93B8B6',\ 'Finland':\ '#E452FF',\ 'France':\ '#2F5382',\ 'Germany':\ '#C46690',\ 'Greece':\ '#556220',\ 'Guatemala':\ '#C59F72',\ 'Guinea':\ '#048287',\ 'Honduras':\ '#69E780',\ 'Hungary':\ '#802790',\ 'Iceland':\ '#6DB4FF',\ 'India':\ '#4E33FF',\ 'Indonesia':\ '#86A302',\ 'Iran\ (Islamic\ Republic\ of)':\ '#FE03CB',\ 'Ireland':\ '#C2A6C5',\ 'Israel':\ '#C55746',\ 'Italy':\ '#76583D',\ 'Japan':\ '#016842',\ 'Kazakhstan':\ '#00D6D5',\ 'Kenya':\ '#DAE0FF',\ 'Korea,\ Republic\ of':\ '#F9FF00',\ 'Kuwait':\ '#6A68B0',\ 'Kyrgyzstan':\ '#C39800',\ 'Latvia':\ '#E1CD9C',\ 'Lesotho':\ '#DA96FF',\ 'Lithuania':\ '#BB03FD',\ 'Luxembourg':\ '#925282',\ 'Madagascar':\ '#A00073',\ 'Malawi':\ '#579B55',\ 'Malaysia':\ '#D38C8F',\ 'Maldives':\ '#374527',\ 'Mali':\ '#97A5C3',\ 'Malta':\ '#8E8D5F',\ 'Mauritius':\ '#FF4600',\ 'Mexico':\ '#C8FFFA',\ 'Morocco':\ '#AE6DFF',\ 'Mozambique':\ '#6ED0A7',\ 'Namibia':\ '#BFFF8C',\ 'Netherlands':\ '#8C54B1',\ 'New\ Zealand':\ '#783619',\ 'Nicaragua':\ '#FFA079',\ 'Niger':\ '#A9001F',\ 'Norway':\ '#FF1C45',\ 'Occupied\ Palestinian\ Territory':\ '#5F1123',\ 'Oman':\ '#679794',\ 'Pakistan':\ '#FF5F94',\ 'Panama':\ '#4C6774',\ 'Papua\ New\ Guinea':\ '#5392CC',\ 'Paraguay':\ '#AA7131',\ 'Peru':\ '#02CFFE',\ 'Philippines':\ '#00C46C',\ 'Poland':\ '#61355D',\ 'Portugal':\ '#90D42F',\ 'Puerto\ Rico':\ '#BFD57C',\ 'Qatar':\ '#5145A2',\ 'Republic\ of\ Moldova':\ '#4E230C',\ 'Romania':\ '#7C5A00',\ 'Russian\ Federation':\ '#FFCE44',\ 'Rwanda':\ '#8302CF',\ 'Saint\ Lucia':\ '#4DFDFF',\ 'San\ Marino':\ '#89003D',\ 'Saudi\ Arabia':\ '#7B525C',\ 'Senegal':\ '#00749D',\ 'Sierra\ Leone':\ '#AA8398',\ 'Singapore':\ '#81718F',\ 'Slovakia':\ '#6265FE',\ 'Slovenia':\ '#C33489',\ 'South\ Africa':\ '#CD2947',\ 'Spain':\ '#FF9AB5',\ 'Sri\ Lanka':\ '#C35DBB',\ 'Sweden':\ '#216802',\ 'Switzerland':\ '#008E65',\ 'Syrian\ Arab\ Republic':\ '#638023',\ 'Tajikistan':\ '#8987BF',\ 'Tanzania\ -\ Mainland':\ '#98DDD5',\ 'Thailand':\ '#CE7F58',\ 'The\ former\ Yugoslav\ Republic\ of\ Macedonia':\ '#D2B75B',\ 'Trinidad\ and\ Tobago':\ '#61006E',\ 'Tunisia':\ '#995444',\ 'Turkey':\ '#B0C7DB',\ 'Turks\ and\ Caicos\ Islands':\ '#F2FFD2',\ 'Uganda':\ '#00EC02',\ 'Ukraine':\ '#CD86BD',\ 'United\ Kingdom':\ '#4500C5',\ 'United\ States':\ '#7A9D7F',\ 'Uruguay':\ '#727147',\ 'Venezuela':\ '#93FFBA',\ 'Viet\ Nam':\ '#0054C1',\ 'Zambia':\ '#AD94EC',\ 'Zimbabwe':\ '#3FA416'}","colors={'2000':\ '#46BEFA',\ '2001':\ '#ED462F',\ '2002':\ '#AAF22B',\ '2003':\ '#F5AE32',\ '2004':\ '#FFFF00',\ '2005':\ '#FF00FF',\ '2006':\ '#00FFFF',\ '2007':\ '#8000FF'}",palette=linear_inferno
Albania,2000,4.45037e+11
Albania,2001,4.53037e+11
Albania,2002,5.06549e+11
Albania,2003,5.85719e+11
Albania,2004,6.52019e+11
Albania,2005,6.92036e+11
Argentina,2000,2.28715e+11
Argentina,2001,2.16919e+11
Argentina,2002,1.89087e+11
Argentina,2003,2.02265e+11
Argentina,2004,2.19152e+11
Argentina,2005,2.37719e+11
Argentina,2006,2.55247e+11
Armenia,2000,1.15566e+12
Armenia,2001,1.22282e+12
Armenia,2002,1.33867e+12
Armenia,2003,1.44934e+12
Armenia,2004,1.63064e+12
Armenia,2005,1.89399e+12
Armenia,2006,2.03175e+12
Armenia,2007,2.48491e+12
Australia,2000,5.55061e+11
Australia,2001,5.80319e+11
Australia,2002,6.01353e+11
Australia,2003,6.48072e+11
Australia,2004,6.8555e+11
Australia,2005,7.11479e+11
Australia,2006,7.48268e+11
Austria,2000,1.52842e+11
Austria,2001,1.53699e+11
Austria,2002,1.5453e+11
Austria,2003,1.56451e+11
Austria,2004,1.64494e+11
Austria,2005,1.678e+11
Austria,2006,1.71322e+11
Austria,2007,1.7418e+11
Azerbaijan,2000,1.25724e+13
Azerbaijan,2001,1.36118e+13
Azerbaijan,2002,1.09027e+13
Azerbaijan,2003,1.27561e+13
Azerbaijan,2004,1.41429e+13
Azerbaijan,2005,6.5274e+09
Azerbaijan,2006,7.4038e+09
Azerbaijan,2007,9.7961e+09
Bahamas,2000,3.3448e+09
Bahamas,2001,3.4927e+09
Bahamas,2002,3.4577e+09
Bahamas,2003,3.54327e+09
Bahamas,2004,3.60994e+09
Bahamas,2005,3.71463e+09
Bahamas,2006,3.84311e+09
Bahrain,2000,1.82537e+09
Bahrain,2001,1.88516e+09
Bahrain,2002,1.96065e+09
Bahrain,2003,2.08231e+09
Bahrain,2004,2.1442e+09
Bahrain,2005,2.32273e+09
Bahrain,2006,2.54452e+09
Bangladesh,2000,1.58434e+12
Bangladesh,2001,1.65924e+12
Bangladesh,2002,1.75319e+12
Bangladesh,2003,1.82541e+12
Bangladesh,2004,1.89267e+12
Bangladesh,2005,1.9713e+12
Bangladesh,2006,2.05872e+12
Bangladesh,2007,2.16563e+12
Belarus,2000,2.5391e+12
Belarus,2001,7.9356e+12
Belarus,2002,1.46922e+13
Belarus,2003,2.2178e+13
Belarus,2004,3.06488e+13
Belarus,2005,4.11452e+13
Belarus,2006,5.16283e+13
Belarus,2007,6.14165e+13
Belgium,2000,1.93333e+11
Belgium,2001,1.96036e+11
Belgium,2002,1.98424e+11
Belgium,2003,2.07569e+11
Belgium,2004,2.11268e+11
Belgium,2005,2.17013e+11
Belgium,2006,2.27878e+11
Belgium,2007,2.36555e+11
Belize,2000,1.08125e+09
Belize,2001,1.5786e+09
Belize,2002,1.6991e+09
Belize,2003,1.7588e+09
Belize,2004,1.7541e+09
Belize,2005,1.7392e+09
Belize,2006,1.6724e+09
Benin,2000,7.17413e+11
Benin,2001,7.53345e+11
Benin,2002,7.94104e+11
Benin,2003,8.35632e+11
Benin,2004,8.34846e+11
Benin,2005,8.56163e+11
Benin,2006,8.785e+11
Benin,2007,9.06e+11
Bhutan,2000,1.37469e+10
Bhutan,2001,1.46621e+10
Bhutan,2002,1.57909e+10
Bhutan,2003,1.73234e+10
Bhutan,2004,1.79977e+10
Bhutan,2005,1.89171e+10
Bhutan,2006,1.94111e+10
Bolivia,2000,1.92961e+10
Bolivia,2001,1.95816e+10
Bolivia,2002,2.00189e+10
Bolivia,2003,2.04418e+10
Bolivia,2004,2.10433e+10
Bolivia,2005,2.17447e+10
Bolivia,2006,2.26061e+10
Bolivia,2007,2.35363e+10
Bosnia and Herzegovina,2005,1.9633e+10
Bosnia and Herzegovina,2006,2.1221e+10
Botswana,2000,9.03889e+09
Botswana,2001,9.01254e+09
Botswana,2002,8.75149e+09
Botswana,2003,9.90266e+09
Botswana,2004,9.82387e+09
Botswana,2005,1.08157e+10
Botswana,2006,1.07078e+10
Botswana,2007,1.11322e+10
Brazil,2000,8.75601e+11
Brazil,2001,9.41319e+11
Brazil,2002,1.03482e+12
Brazil,2003,1.12835e+12
Brazil,2004,1.33245e+12
Brazil,2005,1.46885e+12
Brunei Darussalam,2000,5.24e+09
Brunei Darussalam,2001,5.596e+09
Brunei Darussalam,2002,5.557e+09
Brunei Darussalam,2003,5.909e+09
Brunei Darussalam,2004,6.40785e+09
Brunei Darussalam,2005,6.35767e+09
Brunei Darussalam,2006,6.85616e+09
Bulgaria,2000,1.10601e+13
Bulgaria,2001,1.21851e+13
Bulgaria,2002,2.75327e+10
Bulgaria,2003,3.06071e+10
Bulgaria,2004,3.26038e+10
Bulgaria,2005,3.58859e+10
Bulgaria,2006,4.01777e+10
Burkina Faso,2000,1.82565e+12
Burkina Faso,2001,1.95778e+12
Burkina Faso,2002,2.00556e+12
Burkina Faso,2003,2.10324e+12
Burkina Faso,2004,2.3136e+12
Burkina Faso,2005,2.32101e+12
Burkina Faso,2006,2.49881e+12
Burkina Faso,2007,2.62943e+12
Cambodia,2000,9.73875e+12
Cambodia,2001,1.10009e+13
Cambodia,2002,1.47769e+13
Cambodia,2003,1.59202e+13
Cambodia,2004,1.76848e+13
Cambodia,2005,1.97623e+13
Cambodia,2006,2.10331e+13
Cambodia,2007,2.25002e+13
Cameroon,2000,4.65207e+12
Cameroon,2001,4.82855e+12
Cameroon,2002,5.03574e+12
Cameroon,2003,5.31404e+12
Cameroon,2004,6.22111e+12
Cameroon,2005,6.39804e+12
Cameroon,2006,6.63208e+12
Canada,2000,7.73918e+11
Canada,2001,7.94649e+11
Canada,2002,8.21125e+11
